Running model: Q1_ExRNN_hidden64
Epoch [1/10] | Step [50/938] | Train Loss: 0.7327 | Test Loss: 0.8034 | Train Acc: 0.5352 | Test Acc: 0.3500
Epoch [1/10] | Step [100/938] | Train Loss: 0.6839 | Test Loss: 0.6992 | Train Acc: 0.5321 | Test Acc: 0.4700
Epoch [1/10] | Step [150/938] | Train Loss: 0.6744 | Test Loss: 0.6823 | Train Acc: 0.5953 | Test Acc: 0.5190
Epoch [1/10] | Step [200/938] | Train Loss: 0.6646 | Test Loss: 0.6928 | Train Acc: 0.7453 | Test Acc: 0.5538
Epoch [1/10] | Step [250/938] | Train Loss: 0.7741 | Test Loss: 0.7005 | Train Acc: 0.3620 | Test Acc: 0.5608
Epoch [1/10] | Step [300/938] | Train Loss: 0.6585 | Test Loss: 0.6645 | Train Acc: 0.7056 | Test Acc: 0.6622
Epoch [1/10] | Step [350/938] | Train Loss: 0.6878 | Test Loss: 0.6927 | Train Acc: 0.5605 | Test Acc: 0.5074
Epoch [1/10] | Step [400/938] | Train Loss: 0.6834 | Test Loss: 0.7155 | Train Acc: 0.4792 | Test Acc: 0.4015
Epoch [1/10] | Step [450/938] | Train Loss: 0.6533 | Test Loss: 0.6906 | Train Acc: 0.7272 | Test Acc: 0.5553
Epoch [1/10] | Step [500/938] | Train Loss: 0.6533 | Test Loss: 0.7110 | Train Acc: 0.6177 | Test Acc: 0.4861
Epoch [1/10] | Step [550/938] | Train Loss: 0.6910 | Test Loss: 0.6831 | Train Acc: 0.5006 | Test Acc: 0.5222
Epoch [1/10] | Step [600/938] | Train Loss: 0.6732 | Test Loss: 0.6735 | Train Acc: 0.5930 | Test Acc: 0.5544
Epoch [1/10] | Step [650/938] | Train Loss: 0.6656 | Test Loss: 0.6730 | Train Acc: 0.6320 | Test Acc: 0.5859
Epoch [1/10] | Step [700/938] | Train Loss: 0.7157 | Test Loss: 0.7284 | Train Acc: 0.4214 | Test Acc: 0.4172
Epoch [1/10] | Step [750/938] | Train Loss: 0.6973 | Test Loss: 0.6877 | Train Acc: 0.4486 | Test Acc: 0.5834
Epoch [1/10] | Step [800/938] | Train Loss: 0.6788 | Test Loss: 0.6796 | Train Acc: 0.5617 | Test Acc: 0.5417
Epoch [1/10] | Step [850/938] | Train Loss: 0.7039 | Test Loss: 0.6639 | Train Acc: 0.4669 | Test Acc: 0.6083
Epoch [1/10] | Step [900/938] | Train Loss: 0.6981 | Test Loss: 0.7029 | Train Acc: 0.5079 | Test Acc: 0.4967
Epoch [2/10] | Step [50/938] | Train Loss: 0.6512 | Test Loss: 0.6431 | Train Acc: 0.6760 | Test Acc: 0.5993
Epoch [2/10] | Step [100/938] | Train Loss: 0.6898 | Test Loss: 0.6565 | Train Acc: 0.5256 | Test Acc: 0.6199
Epoch [2/10] | Step [150/938] | Train Loss: 0.6882 | Test Loss: 0.6791 | Train Acc: 0.6241 | Test Acc: 0.6240
Epoch [2/10] | Step [200/938] | Train Loss: 0.7033 | Test Loss: 0.6822 | Train Acc: 0.4522 | Test Acc: 0.5248
Epoch [2/10] | Step [250/938] | Train Loss: 0.6993 | Test Loss: 0.6422 | Train Acc: 0.5176 | Test Acc: 0.6800
Epoch [2/10] | Step [300/938] | Train Loss: 0.6955 | Test Loss: 0.6824 | Train Acc: 0.5716 | Test Acc: 0.5360
Epoch [2/10] | Step [350/938] | Train Loss: 0.6757 | Test Loss: 0.6195 | Train Acc: 0.5634 | Test Acc: 0.6822
Epoch [2/10] | Step [400/938] | Train Loss: 0.7103 | Test Loss: 0.6623 | Train Acc: 0.4731 | Test Acc: 0.6114
Epoch [2/10] | Step [450/938] | Train Loss: 0.6977 | Test Loss: 0.7066 | Train Acc: 0.4720 | Test Acc: 0.4223
Epoch [2/10] | Step [500/938] | Train Loss: 0.6985 | Test Loss: 0.7226 | Train Acc: 0.5414 | Test Acc: 0.4345
Epoch [2/10] | Step [550/938] | Train Loss: 0.6954 | Test Loss: 0.7117 | Train Acc: 0.5417 | Test Acc: 0.4369
Epoch [2/10] | Step [600/938] | Train Loss: 0.6923 | Test Loss: 0.6980 | Train Acc: 0.4915 | Test Acc: 0.4624
Epoch [2/10] | Step [650/938] | Train Loss: 0.6806 | Test Loss: 0.7013 | Train Acc: 0.5385 | Test Acc: 0.4675
Epoch [2/10] | Step [700/938] | Train Loss: 0.6747 | Test Loss: 0.6925 | Train Acc: 0.5633 | Test Acc: 0.5435
Epoch [2/10] | Step [750/938] | Train Loss: 0.6908 | Test Loss: 0.7069 | Train Acc: 0.5626 | Test Acc: 0.5087
Epoch [2/10] | Step [800/938] | Train Loss: 0.6766 | Test Loss: 0.6914 | Train Acc: 0.6500 | Test Acc: 0.5517
Epoch [2/10] | Step [850/938] | Train Loss: 0.6766 | Test Loss: 0.7099 | Train Acc: 0.6453 | Test Acc: 0.4353
Epoch [2/10] | Step [900/938] | Train Loss: 0.6959 | Test Loss: 0.6744 | Train Acc: 0.4557 | Test Acc: 0.5621
Epoch [3/10] | Step [50/938] | Train Loss: 0.6688 | Test Loss: 0.6956 | Train Acc: 0.6078 | Test Acc: 0.5124
Epoch [3/10] | Step [100/938] | Train Loss: 0.7253 | Test Loss: 0.6508 | Train Acc: 0.4582 | Test Acc: 0.7275
Epoch [3/10] | Step [150/938] | Train Loss: 0.6882 | Test Loss: 0.7005 | Train Acc: 0.5559 | Test Acc: 0.5455
Epoch [3/10] | Step [200/938] | Train Loss: 0.6776 | Test Loss: 0.7003 | Train Acc: 0.5820 | Test Acc: 0.5091
Epoch [3/10] | Step [250/938] | Train Loss: 0.6996 | Test Loss: 0.6799 | Train Acc: 0.5398 | Test Acc: 0.5768
Epoch [3/10] | Step [300/938] | Train Loss: 0.7101 | Test Loss: 0.6774 | Train Acc: 0.5448 | Test Acc: 0.6154
Epoch [3/10] | Step [350/938] | Train Loss: 0.6789 | Test Loss: 0.7116 | Train Acc: 0.5287 | Test Acc: 0.4731
Epoch [3/10] | Step [400/938] | Train Loss: 0.7133 | Test Loss: 0.7023 | Train Acc: 0.3853 | Test Acc: 0.5196
Epoch [3/10] | Step [450/938] | Train Loss: 0.6926 | Test Loss: 0.7011 | Train Acc: 0.4335 | Test Acc: 0.6039
Epoch [3/10] | Step [500/938] | Train Loss: 0.7059 | Test Loss: 0.6570 | Train Acc: 0.6158 | Test Acc: 0.6208
Epoch [3/10] | Step [550/938] | Train Loss: 0.6737 | Test Loss: 0.6966 | Train Acc: 0.5119 | Test Acc: 0.5742
Epoch [3/10] | Step [600/938] | Train Loss: 0.7323 | Test Loss: 0.7289 | Train Acc: 0.4754 | Test Acc: 0.4398
Epoch [3/10] | Step [650/938] | Train Loss: 0.6711 | Test Loss: 0.7168 | Train Acc: 0.6238 | Test Acc: 0.5130
Epoch [3/10] | Step [700/938] | Train Loss: 0.6909 | Test Loss: 0.6646 | Train Acc: 0.5626 | Test Acc: 0.6276
Epoch [3/10] | Step [750/938] | Train Loss: 0.7283 | Test Loss: 0.7122 | Train Acc: 0.5010 | Test Acc: 0.4255
Epoch [3/10] | Step [800/938] | Train Loss: 0.7035 | Test Loss: 0.6826 | Train Acc: 0.5323 | Test Acc: 0.6101
Epoch [3/10] | Step [850/938] | Train Loss: 0.6130 | Test Loss: 0.6849 | Train Acc: 0.5895 | Test Acc: 0.5220
Epoch [3/10] | Step [900/938] | Train Loss: 0.6530 | Test Loss: 0.6472 | Train Acc: 0.6811 | Test Acc: 0.6544
Epoch [4/10] | Step [50/938] | Train Loss: 0.6676 | Test Loss: 0.6973 | Train Acc: 0.6401 | Test Acc: 0.4059
Epoch [4/10] | Step [100/938] | Train Loss: 0.6443 | Test Loss: 0.6665 | Train Acc: 0.6191 | Test Acc: 0.5562
Epoch [4/10] | Step [150/938] | Train Loss: 0.6104 | Test Loss: 0.6488 | Train Acc: 0.6434 | Test Acc: 0.5862
Epoch [4/10] | Step [200/938] | Train Loss: 0.7167 | Test Loss: 0.6700 | Train Acc: 0.3910 | Test Acc: 0.5922
Epoch [4/10] | Step [250/938] | Train Loss: 0.6907 | Test Loss: 0.6858 | Train Acc: 0.5133 | Test Acc: 0.4934
Epoch [4/10] | Step [300/938] | Train Loss: 0.6933 | Test Loss: 0.7027 | Train Acc: 0.6352 | Test Acc: 0.4237
Epoch [4/10] | Step [350/938] | Train Loss: 0.6826 | Test Loss: 0.6914 | Train Acc: 0.6217 | Test Acc: 0.5597
Epoch [4/10] | Step [400/938] | Train Loss: 0.6896 | Test Loss: 0.6916 | Train Acc: 0.5274 | Test Acc: 0.5619
Epoch [4/10] | Step [450/938] | Train Loss: 0.6913 | Test Loss: 0.7036 | Train Acc: 0.5219 | Test Acc: 0.5374
Epoch [4/10] | Step [500/938] | Train Loss: 0.7163 | Test Loss: 0.7122 | Train Acc: 0.5226 | Test Acc: 0.5075
Epoch [4/10] | Step [550/938] | Train Loss: 0.6876 | Test Loss: 0.6431 | Train Acc: 0.5451 | Test Acc: 0.6265
Epoch [4/10] | Step [600/938] | Train Loss: 0.6737 | Test Loss: 0.7141 | Train Acc: 0.5485 | Test Acc: 0.5253
Epoch [4/10] | Step [650/938] | Train Loss: 0.6506 | Test Loss: 0.7160 | Train Acc: 0.6631 | Test Acc: 0.5301
Epoch [4/10] | Step [700/938] | Train Loss: 0.7001 | Test Loss: 0.7204 | Train Acc: 0.5020 | Test Acc: 0.4310
Epoch [4/10] | Step [750/938] | Train Loss: 0.5716 | Test Loss: 0.6579 | Train Acc: 0.7556 | Test Acc: 0.5862
Epoch [4/10] | Step [800/938] | Train Loss: 0.7055 | Test Loss: 0.6437 | Train Acc: 0.5365 | Test Acc: 0.6672
Epoch [4/10] | Step [850/938] | Train Loss: 0.7257 | Test Loss: 0.6775 | Train Acc: 0.3938 | Test Acc: 0.5084
Epoch [4/10] | Step [900/938] | Train Loss: 0.6190 | Test Loss: 0.6422 | Train Acc: 0.7127 | Test Acc: 0.6267
Epoch [5/10] | Step [50/938] | Train Loss: 0.6682 | Test Loss: 0.6442 | Train Acc: 0.5984 | Test Acc: 0.6503
Epoch [5/10] | Step [100/938] | Train Loss: 0.6584 | Test Loss: 0.6399 | Train Acc: 0.6869 | Test Acc: 0.6801
Epoch [5/10] | Step [150/938] | Train Loss: 0.7214 | Test Loss: 0.6962 | Train Acc: 0.5015 | Test Acc: 0.5860
Epoch [5/10] | Step [200/938] | Train Loss: 0.6833 | Test Loss: 0.7258 | Train Acc: 0.5421 | Test Acc: 0.4672
Epoch [5/10] | Step [250/938] | Train Loss: 0.6357 | Test Loss: 0.6527 | Train Acc: 0.7091 | Test Acc: 0.5684
Epoch [5/10] | Step [300/938] | Train Loss: 0.5844 | Test Loss: 0.6430 | Train Acc: 0.7541 | Test Acc: 0.6387
Epoch [5/10] | Step [350/938] | Train Loss: 0.6154 | Test Loss: 0.6468 | Train Acc: 0.6557 | Test Acc: 0.6777
Epoch [5/10] | Step [400/938] | Train Loss: 0.6893 | Test Loss: 0.6670 | Train Acc: 0.5321 | Test Acc: 0.6355
Epoch [5/10] | Step [450/938] | Train Loss: 0.6977 | Test Loss: 0.6843 | Train Acc: 0.4221 | Test Acc: 0.5771
Epoch [5/10] | Step [500/938] | Train Loss: 0.6756 | Test Loss: 0.6824 | Train Acc: 0.5586 | Test Acc: 0.6404
Epoch [5/10] | Step [550/938] | Train Loss: 0.6806 | Test Loss: 0.6959 | Train Acc: 0.5620 | Test Acc: 0.5781
Epoch [5/10] | Step [600/938] | Train Loss: 0.6562 | Test Loss: 0.7000 | Train Acc: 0.6910 | Test Acc: 0.5156
Epoch [5/10] | Step [650/938] | Train Loss: 0.6634 | Test Loss: 0.6405 | Train Acc: 0.6438 | Test Acc: 0.7281
Epoch [5/10] | Step [700/938] | Train Loss: 0.6594 | Test Loss: 0.6822 | Train Acc: 0.6005 | Test Acc: 0.6706
Epoch [5/10] | Step [750/938] | Train Loss: 0.6587 | Test Loss: 0.6886 | Train Acc: 0.6654 | Test Acc: 0.5591
Epoch [5/10] | Step [800/938] | Train Loss: 0.7119 | Test Loss: 0.6649 | Train Acc: 0.5083 | Test Acc: 0.6618
Epoch [5/10] | Step [850/938] | Train Loss: 0.6244 | Test Loss: 0.6317 | Train Acc: 0.5806 | Test Acc: 0.6574
Epoch [5/10] | Step [900/938] | Train Loss: 0.6865 | Test Loss: 0.6887 | Train Acc: 0.6177 | Test Acc: 0.4565
Epoch [6/10] | Step [50/938] | Train Loss: 0.6643 | Test Loss: 0.6496 | Train Acc: 0.6000 | Test Acc: 0.6163
Epoch [6/10] | Step [100/938] | Train Loss: 0.5873 | Test Loss: 0.5943 | Train Acc: 0.7378 | Test Acc: 0.7483
Epoch [6/10] | Step [150/938] | Train Loss: 0.6943 | Test Loss: 0.6435 | Train Acc: 0.5633 | Test Acc: 0.6497
Epoch [6/10] | Step [200/938] | Train Loss: 0.6666 | Test Loss: 0.6545 | Train Acc: 0.6047 | Test Acc: 0.6049
Epoch [6/10] | Step [250/938] | Train Loss: 0.6880 | Test Loss: 0.6854 | Train Acc: 0.5989 | Test Acc: 0.4960
